candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,auto_status,review
"Carsten Bedsted","Radikale Venstre","Nordjyllands Storkreds","carstenbedsted","https://www.tiktok.com/@carstenbedsted","55","25","15","5","100","high_confidence","korrekt"
"Steffen Larsen","Liberal Alliance","Sydjyllands Storkreds","liberalbulldozer","https://www.tiktok.com/@liberalbulldozer","55","25","15","5","100","high_confidence","korrekt"
"Theresa Berg Andersen","SF - Socialistisk Folkeparti","Nordjyllands Storkreds","theresabergandersen","https://www.tiktok.com/@theresabergandersen","55","25","15","5","100","high_confidence","korrekt"
"Mads-Magnus Damm","Dansk Folkeparti","Sydjyllands Storkreds","madsmagnusdamm","https://www.tiktok.com/@madsmagnusdamm","55","25","15","5","100","high_confidence","korrekt"
"Pil Christensen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","pil_christensen","https://www.tiktok.com/@pil_christensen","55","25","15","5","100","high_confidence","korrekt"
"Lene Burchardt","Det Konservative Folkeparti","Nordjyllands Storkreds","leneburchardt","https://www.tiktok.com/@leneburchardt","55","25","15","5","100","high_confidence","korrekt"
"Mads Strange","Liberal Alliance","Københavns Storkreds","madsstrange_","https://www.tiktok.com/@madsstrange_","55","25","15","5","100","high_confidence","korrekt"
"Thomas Anker","Alternativet","Københavns Omegns Storkreds","thomas_anker","https://www.tiktok.com/@thomas_anker","55","25","15","5","100","high_confidence","korrekt"
"Tobias Weische","Dansk Folkeparti","Fyns Storkreds","tobiasweische","https://www.tiktok.com/@tobiasweische","55","25","15","5","100","high_confidence","korrekt"
"Sadek Al-Amood","SF - Socialistisk Folkeparti","Københavns Storkreds","sadekalamood","https://www.tiktok.com/@sadekalamood","55","25","15","5","100","high_confidence","korrekt"
"Steffen Friis","Liberal Alliance","Sjællands Storkreds","steffen.friis","https://www.tiktok.com/@steffen.friis","55","25","15","5","100","high_confidence","korrekt"
"Frederik Lau Petersen","Moderaterne","Københavns Omegns Storkreds","frederik_lau_petersen","https://www.tiktok.com/@frederik_lau_petersen","55","25","15","5","100","high_confidence","korrekt"
"Leila Stockmarr","Enhedslisten - De Rød-Grønne","Københavns Storkreds","leila.stockmarr","https://www.tiktok.com/@leila.stockmarr","55","25","15","5","100","high_confidence","korrekt"
"Jan Kristoffersen","Alternativet","Københavns Storkreds","jankristoffersen","https://www.tiktok.com/@jankristoffersen","55","25","15","5","100","high_confidence","korrekt"
"Bjørn Brandenborg","Socialdemokratiet","Fyns Storkreds","bjornbrandenborg","https://www.tiktok.com/@bjornbrandenborg","53","25","15","5","98","high_confidence","korrekt"
"Steffen W. Frølund","Liberal Alliance","Nordsjællands Storkreds","steffenfrolund","https://www.tiktok.com/@steffenfrolund","53","25","15","5","98","high_confidence","korrekt"
"Michael Valbjørn","Liberal Alliance","Vestjyllands Storkreds","michael.valbjrn","https://www.tiktok.com/@michael.valbjrn","55","25","15","0","95","high_confidence","korrekt"
"Marianne Bigum","SF - Socialistisk Folkeparti","Nordsjællands Storkreds","mariannebigum","https://www.tiktok.com/@mariannebigum","55","25","15","0","95","high_confidence","korrekt"
"Andreas Raben","Moderaterne","Nordsjællands Storkreds","andreasraben","https://www.tiktok.com/@andreasraben","55","25","15","0","95","high_confidence","korrekt"
"Zenia Stampe","Radikale Venstre","Sjællands Storkreds","zenia.stampe","https://www.tiktok.com/@zenia.stampe","55","25","15","0","95","high_confidence","korrekt"
"Torsten Gejl","Alternativet","Østjyllands Storkreds","torsten.gejl","https://www.tiktok.com/@torsten.gejl","55","25","15","0","95","high_confidence","korrekt"
"Rasmus Vestergaard Madsen 7,","Enhedslisten - De Rød-Grønne","Sydjyllands Storkreds","rasmusvestergaardmadsen","https://www.tiktok.com/@rasmusvestergaardmadsen","55","25","15","0","95","high_confidence","korrekt"
"Pelle Dragsted","Enhedslisten - De Rød-Grønne","Københavns Storkreds","pelledragsted","https://www.tiktok.com/@pelledragsted","55","25","15","0","95","high_confidence","korrekt"
"Morten Dahlin","Venstre","Sjællands Storkreds","morten.dahlin","https://www.tiktok.com/@morten.dahlin","55","25","15","0","95","high_confidence","korrekt"
"Mads Olsen","SF - Socialistisk Folkeparti","Sjællands Storkreds","madsolsensf","https://www.tiktok.com/@madsolsensf","49","25","15","5","94","high_confidence","korrekt"
"Nick Zimmermann","Dansk Folkeparti","Østjyllands Storkreds","nick.zimmermann.df","https://www.tiktok.com/@nick.zimmermann.df","49","25","15","5","94","high_confidence","korrekt"
"Mette Reissmann","Socialdemokratiet","Københavns Storkreds","mette.reissmann","https://www.tiktok.com/@mette.reissmann","55","25","8","5","93","high_confidence","korrekt"
"Inger Støjberg","Danmarksdemokraterne - Inger Støjberg","Nordjyllands Storkreds","ingerstojberg","https://www.tiktok.com/@ingerstojberg","53","25","15","0","93","high_confidence","korrekt"
"Kim Andkjær Doberck","Dansk Folkeparti","Sydjyllands Storkreds","kimandkjaerdoberck","https://www.tiktok.com/@kimandkjaerdoberck","53","25","15","0","93","high_confidence","korrekt"
"Magnus Von Dreiager","Det Konservative Folkeparti","Københavns Omegns Storkreds","magnusvondreiager","https://www.tiktok.com/@magnusvondreiager","55","25","8","5","93","high_confidence","korrekt"
"Rikke Olssen","Liberal Alliance","Nordjyllands Storkreds","rikkeolssen","https://www.tiktok.com/@rikkeolssen","55","25","8","5","93","high_confidence","korrekt"
"Jeanne Bergmansen","SF - Socialistisk Folkeparti","Sjællands Storkreds","jeannebergmansensf","https://www.tiktok.com/@jeannebergmansensf","49","25","15","0","89","high_confidence","korrekt"
"Nadja Natalie Isaksen","Borgernes Parti - Lars Boje Mathiesen","Sydjyllands Storkreds","nadjaisaksen","https://www.tiktok.com/@nadjaisaksen","53","16","15","5","89","high_confidence","korrekt"
"Lukas Vestergaard","Liberal Alliance","Nordjyllands Storkreds","lukasvestergaard","https://www.tiktok.com/@lukasvestergaard","55","25","8","0","88","high_confidence","ingen_konto"
"Maria Georgi Sloth","Radikale Venstre","Københavns Storkreds","mariageorgisloth","https://www.tiktok.com/@mariageorgisloth","55","25","8","0","88","high_confidence","korrekt"
"Thomas Klimek","Socialdemokratiet","Nordjyllands Storkreds","thomasklimek","https://www.tiktok.com/@thomasklimek","55","25","8","0","88","high_confidence","ingen_konto"
"Trine Bramsen","Socialdemokratiet","Fyns Storkreds","trinebramsen","https://www.tiktok.com/@trinebramsen","55","25","8","0","88","high_confidence","ingen_konto"
"Sofie Holm","Radikale Venstre","Sjællands Storkreds","sofiewlholm","https://www.tiktok.com/@sofiewlholm","55","25","8","0","88","high_confidence","korrekt"
"Pernille Vermund","Liberal Alliance","Sjællands Storkreds","pernillevermund","https://www.tiktok.com/@pernillevermund","55","25","8","0","88","high_confidence","ingen_konto"
"Peter Hummelgaard","Socialdemokratiet","Københavns Storkreds","peter_hummelgaard","https://www.tiktok.com/@peter_hummelgaard","55","25","8","0","88","high_confidence","korrekt"
"Silas Ipsen","Det Konservative Folkeparti","Sjællands Storkreds","silasipsen","https://www.tiktok.com/@silasipsen","55","25","8","0","88","high_confidence","ingen_konto"
"Phillip Sperling","Venstre","Nordjyllands Storkreds","phillipsperling1","https://www.tiktok.com/@phillipsperling1","55","25","8","0","88","high_confidence","korrekt"
"Rabih Azad-Ahmad","Radikale Venstre","Østjyllands Storkreds","rabihazadahmad","https://www.tiktok.com/@rabihazadahmad","55","25","8","0","88","high_confidence","korrekt"
"Kim Valentin","Venstre","Københavns Omegns Storkreds","kimvalentindk","https://www.tiktok.com/@kimvalentindk","55","25","8","0","88","high_confidence","korrekt"
"Laura Holm","Det Konservative Folkeparti","Nordjyllands Storkreds","lauraholm02","https://www.tiktok.com/@lauraholm02","55","25","8","0","88","high_confidence","korrekt"
"Lea Wermelin","Socialdemokratiet","Bornholms Storkreds","lea.wermelin","https://www.tiktok.com/@lea.wermelin","55","25","8","0","88","high_confidence","korrekt"
"Lise Bertelsen","Det Konservative Folkeparti","Vestjyllands Storkreds","lisebertelsen2022","https://www.tiktok.com/@lisebertelsen2022","55","25","8","0","88","high_confidence","korrekt"
"Lise Jørgensen","Socialdemokratiet","Vestjyllands Storkreds","lisejrgensen","https://www.tiktok.com/@lisejrgensen","55","25","8","0","88","high_confidence","ingen_konto"
"Lone Hansen","Moderaterne","Sydjyllands Storkreds","lone.hansen0","https://www.tiktok.com/@lone.hansen0","55","25","8","0","88","high_confidence","korrekt"
"Louise Brown","Liberal Alliance","Østjyllands Storkreds","brownlouise","https://www.tiktok.com/@brownlouise","55","25","8","0","88","high_confidence","korrekt"
"Nicholas Wentworth","Radikale Venstre","Sydjyllands Storkreds","nicholas.wentworth","https://www.tiktok.com/@nicholas.wentworth","55","25","8","0","88","high_confidence","korrekt"
"John Hoppe","Det Konservative Folkeparti","Fyns Storkreds","john.hoppe1","https://www.tiktok.com/@john.hoppe1","55","25","8","0","88","high_confidence","korrekt"
"Alex Vanopslagh","Liberal Alliance","Østjyllands Storkreds","alexvanopslagh","https://www.tiktok.com/@alexvanopslagh","55","25","8","0","88","high_confidence","korrekt"
"Amanda Heitmann","Venstre","Fyns Storkreds","amandaheitmann","https://www.tiktok.com/@amandaheitmann","55","25","8","0","88","high_confidence","korrekt"
"Frederik Vad","Socialdemokratiet","Sjællands Storkreds","frederik.vad","https://www.tiktok.com/@frederik.vad","55","25","8","0","88","high_confidence","korrekt"
"Jacob Jensen","Venstre","Sjællands Storkreds",".jacobjensen","https://www.tiktok.com/@.jacobjensen","55","25","8","0","88","high_confidence","ingen_konto"
"Jane Christensen","Det Konservative Folkeparti","Sjællands Storkreds","janechristensen","https://www.tiktok.com/@janechristensen","55","25","8","0","88","high_confidence","ingen_konto"
"Jarl Feyling","Socialdemokratiet","Københavns Storkreds","jarlfeyling","https://www.tiktok.com/@jarlfeyling","55","25","8","0","88","high_confidence","korrekt"
"Ida Auken","Socialdemokratiet","Københavns Storkreds","idaauken","https://www.tiktok.com/@idaauken","55","25","8","0","88","high_confidence","korrekt"
"Ayhan Kilic","Moderaterne","Nordsjællands Storkreds","ayhankilic_moderaterne","https://www.tiktok.com/@ayhankilic_moderaterne","55","25","8","0","88","high_confidence","korrekt"
"Charlotte Green","Det Konservative Folkeparti","Østjyllands Storkreds","charlottegreen","https://www.tiktok.com/@charlottegreen","55","25","8","0","88","high_confidence","ingen_konto"
"Ellen Emilie","Moderaterne","Københavns Storkreds","ellenemilie_","https://www.tiktok.com/@ellenemilie_","55","25","8","0","88","high_confidence","korrekt"
"Anastasia Milthers","Radikale Venstre","Fyns Storkreds","anastasia_milthers","https://www.tiktok.com/@anastasia_milthers","55","25","8","0","88","high_confidence","korrekt"
"Emil M. D. Christensen","Venstre","Østjyllands Storkreds","emilchristensen","https://www.tiktok.com/@emilchristensen","55","25","8","0","88","high_confidence","ingen_konto"
"Ole Birk Olesen","Liberal Alliance","Københavns Storkreds","olebirkolesen","https://www.tiktok.com/@olebirkolesen","55","25","8","0","88","high_confidence","korrekt"
"Niels Peder Ravn","Det Konservative Folkeparti","Københavns Storkreds","nielspederravn","https://www.tiktok.com/@nielspederravn","55","25","8","0","88","high_confidence","korrekt"
"Nicklas Verne","Det Konservative Folkeparti","Vestjyllands Storkreds","nicklasverne","https://www.tiktok.com/@nicklasverne","55","25","8","0","88","high_confidence","korrekt"
"Louise Louring","Venstre","Østjyllands Storkreds","louise_louring","https://www.tiktok.com/@louise_louring","55","25","8","0","88","high_confidence","korrekt"
"Frederik Klakk","Liberal Alliance","Sydjyllands Storkreds","frederikklakk","https://www.tiktok.com/@frederikklakk","55","25","8","0","88","high_confidence","korrekt"
"Iben Krog","Venstre","Sjællands Storkreds","iben__krog","https://www.tiktok.com/@iben__krog","55","25","8","0","88","high_confidence","korrekt"
"Magnus Heunicke","Socialdemokratiet","Sjællands Storkreds","heunicke","https://www.tiktok.com/@heunicke","55","25","8","0","88","high_confidence","korrekt"
"Mia Tang","Det Konservative Folkeparti","Københavns Storkreds","miatang.dk","https://www.tiktok.com/@miatang.dk","55","25","8","0","88","high_confidence","korrekt"
"Michael Grove","Det Konservative Folkeparti","Vestjyllands Storkreds","michaelgrove","https://www.tiktok.com/@michaelgrove","55","25","8","0","88","high_confidence","ingen_konto"
"Morten Hell","Moderaterne","Sydjyllands Storkreds","morten.hell.moder","https://www.tiktok.com/@morten.hell.moder","55","25","8","0","88","high_confidence","korrekt"
"Mette Frederiksen","Socialdemokratiet","Nordjyllands Storkreds","mette_insider_official","https://www.tiktok.com/@mette_insider_official","55","25","8","0","88","high_confidence","korrekt"
"Søren Vanting","Moderaterne","Østjyllands Storkreds","sorenvanting","https://www.tiktok.com/@sorenvanting","53","25","8","0","86","high_confidence","korrekt"
"Nils Sjøberg","Radikale Venstre","Sydjyllands Storkreds","nilssjoberg","https://www.tiktok.com/@nilssjoberg","53","25","8","0","86","high_confidence","ingen_konto"
"Søren Homann","Det Konservative Folkeparti","Nordjyllands Storkreds","sorenhomann","https://www.tiktok.com/@sorenhomann","53","25","8","0","86","high_confidence","korrekt"
"Brian Køster","Radikale Venstre","Københavns Omegns Storkreds","briankoster","https://www.tiktok.com/@briankoster","53","25","8","0","86","high_confidence","korrekt"
"Samira Nawa","Radikale Venstre","Københavns Storkreds","samira.nawa","https://www.tiktok.com/@samira.nawa","55","25","0","5","85","high_confidence","korrekt"
"Susanne Blegvad Posselt","SF - Socialistisk Folkeparti","Sydjyllands Storkreds","susanneposselt","https://www.tiktok.com/@susanneposselt","53","16","15","0","84","high_confidence","ingen_konto"
"Rune Bønnelykke","Dansk Folkeparti","Sydjyllands Storkreds","runebonnelykke","https://www.tiktok.com/@runebonnelykke","53","25","0","5","83","high_confidence","korrekt"
"Filippa Emilie Vittrup","Enhedslisten - De Rød-Grønne","Nordjyllands Storkreds","filippavittrup","https://www.tiktok.com/@filippavittrup","53","25","0","5","83","high_confidence","korrekt"
"Sara Tvilling","Liberal Alliance","Nordjyllands Storkreds","saratvillingla","https://www.tiktok.com/@saratvillingla","49","25","8","0","82","high_confidence","korrekt"
"Milo Gaarde","SF - Socialistisk Folkeparti","Sydjyllands Storkreds","milo_gaarde","https://www.tiktok.com/@milo_gaarde","55","25","0","0","80","high_confidence","korrekt"
"Qasam Nazir Ahmad","Alternativet","Københavns Storkreds","qasam_nazir_ahmad","https://www.tiktok.com/@qasam_nazir_ahmad","55","25","0","0","80","high_confidence","korrekt"
"Peter Samir","Alternativet","Københavns Omegns Storkreds","petersamir","https://www.tiktok.com/@petersamir","55","25","0","0","80","high_confidence","ingen_konto"
"Anna Poulsen","SF - Socialistisk Folkeparti","Nordsjællands Storkreds","annapoulsen","https://www.tiktok.com/@annapoulsen","55","25","0","0","80","high_confidence","ingen_konto"
"Anders Vistisen","Dansk Folkeparti","Nordjyllands Storkreds","andersvistisen","https://www.tiktok.com/@andersvistisen","55","25","0","0","80","high_confidence","korrekt"
"Allan Feldt","Dansk Folkeparti","Københavns Storkreds","realallanfeldt","https://www.tiktok.com/@realallanfeldt","55","25","0","0","80","high_confidence","korrekt"
"Alexander Ryle","Liberal Alliance","Københavns Storkreds","alexanderryle","https://www.tiktok.com/@alexanderryle","55","25","0","0","80","high_confidence","korrekt"
"Carl Emil Lind","Socialdemokratiet","Sjællands Storkreds","carl.emil.lind.ch","https://www.tiktok.com/@carl.emil.lind.ch","35","25","15","5","80","high_confidence","korrekt"
"Carl Andersen","Liberal Alliance","Sydjyllands Storkreds","carlandersen27","https://www.tiktok.com/@carlandersen27","35","25","15","5","80","high_confidence","korrekt"
"Benjamin Christensen","SF - Socialistisk Folkeparti","Nordjyllands Storkreds","benjaminrfchristensen","https://www.tiktok.com/@benjaminrfchristensen","55","25","0","0","80","high_confidence","korrekt"
"Astrid Fogh","Alternativet","Sydjyllands Storkreds","astridfogh","https://www.tiktok.com/@astridfogh","55","25","0","0","80","high_confidence","ingen_konto"
"Charlotte Ellenberger","SF - Socialistisk Folkeparti","Fyns Storkreds","charlotteellenberger","https://www.tiktok.com/@charlotteellenberger","55","25","0","0","80","high_confidence","ingen_konto"
"Charlotte Lund","Enhedslisten - De Rød-Grønne","Københavns Storkreds","charlotte_.lund","https://www.tiktok.com/@charlotte_.lund","55","25","0","0","80","high_confidence","ingen_konto"
"Christian Kirk","Dansk Folkeparti","Sydjyllands Storkreds","christiankirk00","https://www.tiktok.com/@christiankirk00","55","25","0","0","80","high_confidence","korrekt"
"David Ibsen","Liberal Alliance","Københavns Omegns Storkreds","david_ibsen","https://www.tiktok.com/@david_ibsen","55","25","0","0","80","high_confidence","ingen_konto"
"Mikkel Bisgaard","Venstre","Nordjyllands Storkreds","mikkelbisgaard","https://www.tiktok.com/@mikkelbisgaard","55","25","0","0","80","high_confidence","ingen_konto"
"Mikael Winther","Alternativet","Sydjyllands Storkreds","mikael_winther","https://www.tiktok.com/@mikael_winther","55","25","0","0","80","high_confidence","korrekt"
"Mathilde Vinther","Enhedslisten - De Rød-Grønne","Københavns Storkreds","mathildee.vintherr","https://www.tiktok.com/@mathildee.vintherr","55","25","0","0","80","high_confidence","korrekt"
"Jesper Bierbaum","Venstre","Sydjyllands Storkreds","jesperbierbaumvenstre","https://www.tiktok.com/@jesperbierbaumvenstre","35","25","15","5","80","high_confidence","korrekt"
"Frederik Storm","Danmarksdemokraterne - Inger Støjberg","Nordjyllands Storkreds","frederikstorm","https://www.tiktok.com/@frederikstorm","55","25","0","0","80","high_confidence","ingen_konto"
"Jakob Jensen","Enhedslisten - De Rød-Grønne","Østjyllands Storkreds","jakob.jensen","https://www.tiktok.com/@jakob.jensen","55","25","0","0","80","high_confidence","ingen_konto"
"Ibrahim Benli","Enhedslisten - De Rød-Grønne","Københavns Omegns Storkreds","ibrahimbenli4","https://www.tiktok.com/@ibrahimbenli4","55","25","0","0","80","high_confidence","korrekt"
"Hans Andersen","Venstre","Nordsjællands Storkreds","hansandersenvenstre","https://www.tiktok.com/@hansandersenvenstre","35","25","15","5","80","high_confidence","korrekt"
"Line Rasmussen","Radikale Venstre","Østjyllands Storkreds","linerasmussen","https://www.tiktok.com/@linerasmussen","55","25","0","0","80","high_confidence","korrekt"
"Lars Bregnbak","Danmarksdemokraterne - Inger Støjberg","Nordsjællands Storkreds","lars_bregnbak","https://www.tiktok.com/@lars_bregnbak","55","25","0","0","80","high_confidence","korrekt"
"Kim Pagels","Radikale Venstre","Vestjyllands Storkreds","kimpagels","https://www.tiktok.com/@kimpagels","55","25","0","0","80","high_confidence","ingen_konto"
"Katrine Schiller","Danmarksdemokraterne - Inger Støjberg","Nordsjællands Storkreds","katrineschiller","https://www.tiktok.com/@katrineschiller","55","25","0","0","80","high_confidence","ingen_konto"
"Kasper Thomassen","Venstre","Vestjyllands Storkreds","kasperthomassen","https://www.tiktok.com/@kasperthomassen","55","25","0","0","80","high_confidence","ingen_konto"
"Emilie Schytte","Borgernes Parti - Lars Boje Mathiesen","Nordsjællands Storkreds","emilie.schytte.bp","https://www.tiktok.com/@emilie.schytte.bp","35","25","15","5","80","high_confidence","korrekt"
"Emil Nielsen","SF - Socialistisk Folkeparti","Nordsjællands Storkreds","emilnielsen","https://www.tiktok.com/@emilnielsen","55","25","0","0","80","high_confidence","ingen_konto"
"Dorte M. Nielsen","SF - Socialistisk Folkeparti","Nordjyllands Storkreds","dortenielsen","https://www.tiktok.com/@dortenielsen","55","25","0","0","80","high_confidence","ingen_konto"
"Sofie Mosgaard","Venstre","Fyns Storkreds","sofiemosgaard","https://www.tiktok.com/@sofiemosgaard","55","25","0","0","80","high_confidence","korrekt"
"Sofie Lippert","SF - Socialistisk Folkeparti","Østjyllands Storkreds","sofielippert","https://www.tiktok.com/@sofielippert","55","25","0","0","80","high_confidence","korrekt"
"Rosa Lund","Enhedslisten - De Rød-Grønne","Københavns Storkreds","denrigtigerosalund","https://www.tiktok.com/@denrigtigerosalund","55","25","0","0","80","high_confidence","korrekt"
"Martin Laursen","Enhedslisten - De Rød-Grønne","Østjyllands Storkreds","martinlaursen","https://www.tiktok.com/@martinlaursen","55","25","0","0","80","high_confidence","ingen_konto"
"Malene Sandfeld","Venstre","Københavns Storkreds","malenesandfeld","https://www.tiktok.com/@malenesandfeld","55","25","0","0","80","high_confidence","korrekt"
"Magnus Georg Jensen","Radikale Venstre","Københavns Storkreds","magnusgeorgjensen","https://www.tiktok.com/@magnusgeorgjensen","55","25","0","0","80","high_confidence","korrekt"
"Mads Sebbelov","Moderaterne","Københavns Storkreds","madssebbelov1","https://www.tiktok.com/@madssebbelov1","35","25","15","5","80","high_confidence","korrekt"
"Louis Jacobsen","Enhedslisten - De Rød-Grønne","Sjællands Storkreds","louisjacobsen","https://www.tiktok.com/@louisjacobsen","55","25","0","0","80","high_confidence","ingen_konto"
"Reza Javid","Enhedslisten - De Rød-Grønne","Fyns Storkreds","reza_javid","https://www.tiktok.com/@reza_javid","55","25","0","0","80","high_confidence","korrekt"
"Julie Jacobsen","Dansk Folkeparti","Sjællands Storkreds","juliejacobsen","https://www.tiktok.com/@juliejacobsen","55","25","0","0","80","high_confidence","ingen_konto"
"Josefine Paaske","Venstre","Sjællands Storkreds","josefinepaaske3","https://www.tiktok.com/@josefinepaaske3","35","25","15","5","80","high_confidence","korrekt"
"Romeo Troelsgaard","Dansk Folkeparti","Fyns Storkreds","romeotroelsgaard","https://www.tiktok.com/@romeotroelsgaard","55","25","0","0","80","high_confidence","korrekt"
"John Erik Wagner","Uden for partierne","Københavns Storkreds","john.erik.wagner1","https://www.tiktok.com/@john.erik.wagner1","55","25","0","0","80","high_confidence","korrekt"
"Søren Jensen","Liberal Alliance","Østjyllands Storkreds","sorenjensenla","https://www.tiktok.com/@sorenjensenla","39","25","15","0","79","high_confidence","korrekt"
"Sarah Nørris","Enhedslisten - De Rød-Grønne","Sydjyllands Storkreds","sarahnorris","https://www.tiktok.com/@sarahnorris","53","25","0","0","78","high_confidence","ingen_konto"
"Mikkel Bjørn","Dansk Folkeparti","Københavns Omegns Storkreds","mikkelbjorn","https://www.tiktok.com/@mikkelbjorn","53","25","0","0","78","high_confidence","korrekt"
"Jan E. Jørgensen","Venstre","Københavns Storkreds","janjorgensen","https://www.tiktok.com/@janjorgensen","53","25","0","0","78","high_confidence","ingen_konto"
"Thomas Skriver Jensen","Socialdemokratiet","Fyns Storkreds","thomas.skriver","https://www.tiktok.com/@thomas.skriver","53","16","8","0","77","high_confidence","korrekt"
"Lasse Haugaard Pedersen","Socialdemokratiet","Fyns Storkreds","lassepedersen","https://www.tiktok.com/@lassepedersen","53","16","8","0","77","high_confidence","ingen_konto"
"Leif Lahn Jensen","Socialdemokratiet","Østjyllands Storkreds","leifjensen","https://www.tiktok.com/@leifjensen","53","16","8","0","77","high_confidence","ingen_konto"
