candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,auto_status,review
"Marlene Ambo-Rasmussen","Venstre","Fyns Storkreds","marleneambo","https://www.tiktok.com/@marleneambo","53","16","8","0","77","high_confidence","korrekt"
"Joachim Hoffmann-Petersen","Det Konservative Folkeparti","Fyns Storkreds","joachimpetersen","https://www.tiktok.com/@joachimpetersen","53","16","8","0","77","high_confidence","ingen_konto"
"Anders Peter Hansen","Liberal Alliance","Nordjyllands Storkreds","anderspeterhansenla","https://www.tiktok.com/@anderspeterhansenla","53","16","8","0","77","high_confidence","korrekt"
"Jeppe von Berg","Moderaterne","Vestjyllands Storkreds","jeppeberg","https://www.tiktok.com/@jeppeberg","53","16","8","0","77","high_confidence","ingen_konto"
"Victoria Helene Olsen","Det Konservative Folkeparti","Sjællands Storkreds","_victoriaolsen","https://www.tiktok.com/@_victoriaolsen","53","16","8","0","77","high_confidence","ingen_konto"
"Tina Cartey Hansen","Det Konservative Folkeparti","Københavns Omegns Storkreds","tinacartey","https://www.tiktok.com/@tinacartey","53","16","8","0","77","high_confidence","korrekt"
"Anders Krojgaard Lund","Det Konservative Folkeparti","Østjyllands Storkreds","anderslund","https://www.tiktok.com/@anderslund","53","16","8","0","77","high_confidence","ingen_konto"
"Katrine Evelyn Jensen","Socialdemokratiet","Vestjyllands Storkreds","katrineevelynjens","https://www.tiktok.com/@katrineevelynjens","53","16","8","0","77","high_confidence","korrekt"
"Zishan Ali","Moderaterne","Københavns Omegns Storkreds","zishan.ali2101","https://www.tiktok.com/@zishan.ali2101","35","25","15","0","75","high_confidence","korrekt"
"Thomas Skovgaard","Moderaterne","Nordjyllands Storkreds","thomasskovgaard44","https://www.tiktok.com/@thomasskovgaard44","35","25","15","0","75","high_confidence","korrekt"
"Tobias Jørgensen","Venstre","Sydjyllands Storkreds","stem_tobiasjorgensen","https://www.tiktok.com/@stem_tobiasjorgensen","55","12","8","0","75","high_confidence","korrekt"
"Zeynep Bardakci","Venstre","Københavns Storkreds","zeynepbardakci7","https://www.tiktok.com/@zeynepbardakci7","35","25","15","0","75","high_confidence","korrekt"
"Jacob Harris","Borgernes Parti - Lars Boje Mathiesen","Sjællands Storkreds","jacob.harris.borg","https://www.tiktok.com/@jacob.harris.borg","35","25","15","0","75","high_confidence","korrekt"
"Thomas Andresen","Venstre","Sydjyllands Storkreds","thomasandresen_venstre","https://www.tiktok.com/@thomasandresen_venstre","35","25","15","0","75","high_confidence","korrekt"
"Laura Emilie Fabricius-Lauritzen","Liberal Alliance","Københavns Storkreds","fabriciuslauritzen","https://www.tiktok.com/@fabriciuslauritzen","53","12","8","0","73","possible_match","korrekt"
"Jakob Larsen","Radikale Venstre","Fyns Storkreds","jakob.larsen.rv","https://www.tiktok.com/@jakob.larsen.rv","35","25","8","5","73","possible_match","korrekt"
"Anne Catherine Hoxcer Nielsen","Socialdemokratiet","Sydjyllands Storkreds","annenielsen","https://www.tiktok.com/@annenielsen","53","12","8","0","73","possible_match","ingen_konto"
"Kiki Bille Bach","Socialdemokratiet","Nordjyllands Storkreds","kikibach0","https://www.tiktok.com/@kikibach0","34","25","8","5","72","possible_match","korrekt"
"Lars Høyer Holmqvist","Liberal Alliance","Nordsjællands Storkreds","larsholmqvist5","https://www.tiktok.com/@larsholmqvist5","33","25","8","5","71","possible_match","korrekt"
"Runa Friis Hansen","Enhedslisten - De Rød-Grønne","Nordjyllands Storkreds","runa.friis.hansen","https://www.tiktok.com/@runa.friis.hansen","53","16","0","0","69","possible_match","korrekt"
"Thomas Quist Mortensen","Alternativet","Østjyllands Storkreds","thomasmortensen","https://www.tiktok.com/@thomasmortensen","53","16","0","0","69","possible_match","ingen_konto"
"Signe Sofie Larsen","Alternativet","Vestjyllands Storkreds","signelarsen","https://www.tiktok.com/@signelarsen","53","16","0","0","69","possible_match","ingen_konto"
"Kim Edberg Andersen","Danmarksdemokraterne - Inger Støjberg","Nordjyllands Storkreds","kimandersen","https://www.tiktok.com/@kimandersen","53","16","0","0","69","possible_match","ingen_konto"
"Maria Sofie Petersen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","mariapetersen","https://www.tiktok.com/@mariapetersen","53","16","0","0","69","possible_match","ingen_konto"
"Martin Mickey Pedersen","Liberal Alliance","Sjællands Storkreds","martinpedersen","https://www.tiktok.com/@martinpedersen","53","16","0","0","69","possible_match","ingen_konto"
"Mette Bloch Hansen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","mettehansen","https://www.tiktok.com/@mettehansen","53","16","0","0","69","possible_match","ingen_konto"
"Ina Juul Jensen","SF - Socialistisk Folkeparti","Sydjyllands Storkreds","inajensen","https://www.tiktok.com/@inajensen","53","16","0","0","69","possible_match","ingen_konto"
"John Bo Hansen","Borgernes Parti - Lars Boje Mathiesen","Sjællands Storkreds","johnhansen","https://www.tiktok.com/@johnhansen","53","16","0","0","69","possible_match","ingen_konto"
"Peter Juel-Jensen","Venstre","Bornholms Storkreds","peterjensen","https://www.tiktok.com/@peterjensen","53","16","0","0","69","possible_match","ingen_konto"
"Michael Rask","Liberal Alliance","Sjællands Storkreds","michael.raskliber","https://www.tiktok.com/@michael.raskliber","35","25","8","0","68","possible_match","korrekt"
"Yildiz Akdogan","Socialdemokratiet","Københavns Storkreds","yildizakdogan33","https://www.tiktok.com/@yildizakdogan33","35","25","8","0","68","possible_match","ingen_konto"
"Nikolaj C. Andersen","Moderaterne","Nordjyllands Storkreds","nikolajandersen35","https://www.tiktok.com/@nikolajandersen35","35","25","8","0","68","possible_match","ingen_konto"
"Mai Mercado","Det Konservative Folkeparti","Fyns Storkreds","maimercado_dk","https://www.tiktok.com/@maimercado_dk","35","25","8","0","68","possible_match","korrekt"
"Malte Larsen","Socialdemokratiet","Østjyllands Storkreds","malte.larsen0","https://www.tiktok.com/@malte.larsen0","35","25","8","0","68","possible_match","korrekt"
"Marcus Danielsson","Venstre","Sjællands Storkreds","venstre.marcusdanielsson","https://www.tiktok.com/@venstre.marcusdanielsson","35","25","8","0","68","possible_match","korrekt"
"Michael Nielsen","Moderaterne","Vestjyllands Storkreds","michaelnielsen15","https://www.tiktok.com/@michaelnielsen15","35","25","8","0","68","possible_match","ingen_konto"
"Jan Carlsen","Moderaterne","Sjællands Storkreds","jancarlsen82","https://www.tiktok.com/@jancarlsen82","35","25","8","0","68","possible_match","ingen_konto"
"Helle Jensen","Liberal Alliance","Vestjyllands Storkreds","hellejensen282","https://www.tiktok.com/@hellejensen282","35","25","8","0","68","possible_match","ingen_konto"
"Araz Khan","Liberal Alliance","Fyns Storkreds","arazkhan002","https://www.tiktok.com/@arazkhan002","35","25","8","0","68","possible_match","ingen_konto"
"Ali Qais","Moderaterne","Københavns Storkreds","ali.qaisofficiall","https://www.tiktok.com/@ali.qaisofficiall","35","25","8","0","68","possible_match","ingen_konto"
"Erik Jensen","Socialdemokratiet","Københavns Storkreds","erikjensen7","https://www.tiktok.com/@erikjensen7","35","25","8","0","68","possible_match","ingen_konto"
"Frank Clausen","Liberal Alliance","Københavns Omegns Storkreds","frankclausen4","https://www.tiktok.com/@frankclausen4","35","25","8","0","68","possible_match","ingen_konto"
"Dorthe Pedersen","Det Konservative Folkeparti","Nordjyllands Storkreds","dorthepedersen4","https://www.tiktok.com/@dorthepedersen4","35","25","8","0","68","possible_match","ingen_konto"
"Daniel Juhl","Borgernes Parti - Lars Boje Mathiesen","Fyns Storkreds","danieljuhlthygese","https://www.tiktok.com/@danieljuhlthygese","35","25","8","0","68","possible_match","ingen_konto"
"Kim Aas","Socialdemokratiet","Fyns Storkreds","kimaaschristensen","https://www.tiktok.com/@kimaaschristensen","35","25","8","0","68","possible_match","korrekt"
"Kim Lei-Jensen","Radikale Venstre","Fyns Storkreds","kimleijensen_rv","https://www.tiktok.com/@kimleijensen_rv","35","25","8","0","68","possible_match","korrekt"
"Rikke Christensen","Radikale Venstre","Østjyllands Storkreds","rikke_christensen14","https://www.tiktok.com/@rikke_christensen14","35","25","8","0","68","possible_match","ingen_konto"
"Rikke Hansen","Borgernes Parti - Lars Boje Mathiesen","Københavns Storkreds","rikkehansen51","https://www.tiktok.com/@rikkehansen51","35","25","8","0","68","possible_match","ingen_konto"
"Karan Khosla","Moderaterne","Københavns Omegns Storkreds","karankhosla53","https://www.tiktok.com/@karankhosla53","35","25","8","0","68","possible_match","ingen_konto"
"Kashif Ahmad","Radikale Venstre","Københavns Omegns Storkreds","kashifahmaddk","https://www.tiktok.com/@kashifahmaddk","35","25","8","0","68","possible_match","korrekt"
"Pernille Christensen","Moderaterne","Nordsjællands Storkreds","pernillechristensen74","https://www.tiktok.com/@pernillechristensen74","35","25","8","0","68","possible_match","ingen_konto"
"Malte Jäger","Liberal Alliance","Fyns Storkreds","maltejagerfyn","https://www.tiktok.com/@maltejagerfyn","18","25","15","5","63","possible_match","korrekt"
"Simon Kollerup","Socialdemokratiet","Nordjyllands Storkreds","politikkersimonkollerup","https://www.tiktok.com/@politikkersimonkollerup","18","25","15","5","63","possible_match","korrekt"
"Kristian Stokholm","Radikale Venstre","Sjællands Storkreds","stemstokholm","https://www.tiktok.com/@stemstokholm","18","25","15","5","63","possible_match","korrekt"
"Peter Vestergaard","Radikale Venstre","Vestjyllands Storkreds","petervestergaard7","https://www.tiktok.com/@petervestergaard7","35","25","0","0","60","possible_match","ingen_konto"
"Michael Jensen","Dansk Folkeparti","Københavns Omegns Storkreds","michael.jensenn","https://www.tiktok.com/@michael.jensenn","35","25","0","0","60","possible_match","ingen_konto"
"Martin Rahn Johansen","Danmarksdemokraterne - Inger Støjberg","Sjællands Storkreds","martinrahnjohansendd","https://www.tiktok.com/@martinrahnjohansendd","35","25","0","0","60","possible_match","korrekt"
"Ali Yahya","SF - Socialistisk Folkeparti","Sjællands Storkreds","aliyahya1010","https://www.tiktok.com/@aliyahya1010","35","25","0","0","60","possible_match","ingen_konto"
"Allan Holm","Borgernes Parti - Lars Boje Mathiesen","Fyns Storkreds","allanholm11","https://www.tiktok.com/@allanholm11","35","25","0","0","60","possible_match","ingen_konto"
"Bo Nielsen","Alternativet","Sydjyllands Storkreds","bonielsen4","https://www.tiktok.com/@bonielsen4","35","25","0","0","60","possible_match","ingen_konto"
"Thomas Hjort","Dansk Folkeparti","Nordjyllands Storkreds","thomashjort1","https://www.tiktok.com/@thomashjort1","35","25","0","0","60","possible_match","ingen_konto"
"Zohair Ali","Radikale Venstre","Københavns Omegns Storkreds","zohairali088","https://www.tiktok.com/@zohairali088","35","25","0","0","60","possible_match","ingen_konto"
"Fatih Baran","Enhedslisten - De Rød-Grønne","Københavns Omegns Storkreds","fatih.baran37","https://www.tiktok.com/@fatih.baran37","35","25","0","0","60","possible_match","korrekt"
"Rashid Ali","Uden for partierne","Københavns Storkreds","razfreedom","https://www.tiktok.com/@razfreedom","35","25","0","0","60","possible_match","korrekt"
"Rasmus Paludan","Uden for partierne","Københavns Storkreds","rasmuspaludanjokes","https://www.tiktok.com/@rasmuspaludanjokes","35","25","0","0","60","possible_match","ingen_konto"
"Rasmus Petersen","Enhedslisten - De Rød-Grønne","Nordsjællands Storkreds","rasmuspetersen17","https://www.tiktok.com/@rasmuspetersen17","35","25","0","0","60","possible_match","ingen_konto"
"Signe Munk","SF - Socialistisk Folkeparti","Vestjyllands Storkreds","signe_munk1","https://www.tiktok.com/@signe_munk1","35","25","0","0","60","possible_match","ingen_konto"
"Susanne Damsgaard","Danmarksdemokraterne - Inger Støjberg","Københavns Omegns Storkreds","susannedamsgaarddd","https://www.tiktok.com/@susannedamsgaarddd","35","25","0","0","60","possible_match","korrekt"
"Emil Andersen","Enhedslisten - De Rød-Grønne","Nordsjællands Storkreds","emil_andersen72","https://www.tiktok.com/@emil_andersen72","35","25","0","0","60","possible_match","ingen_konto"
"Esat Senturk","Radikale Venstre","Københavns Omegns Storkreds","esatsenturkrv","https://www.tiktok.com/@esatsenturkrv","35","25","0","0","60","possible_match","korrekt"
"Kim Larsen","Enhedslisten - De Rød-Grønne","Københavns Storkreds","kim.larsen183","https://www.tiktok.com/@kim.larsen183","35","25","0","0","60","possible_match","korrekt"
"Jacob Mark","SF - Socialistisk Folkeparti","Nordsjællands Storkreds","jacobmark_art","https://www.tiktok.com/@jacobmark_art","35","25","0","0","60","possible_match","ingen_konto"
"Jan Schumann","Alternativet","Københavns Storkreds","blandemaskinen","https://www.tiktok.com/@blandemaskinen","35","25","0","0","60","possible_match","korrekt"
"Jens Meilvang","Liberal Alliance","Østjyllands Storkreds","jensmeilvang165","https://www.tiktok.com/@jensmeilvang165","35","25","0","0","60","possible_match","korrekt"
"Kim Hammer","Dansk Folkeparti","Københavns Omegns Storkreds","kimhammer2","https://www.tiktok.com/@kimhammer2","35","25","0","0","60","possible_match","ingen_konto"
"Maria Sørensen","Enhedslisten - De Rød-Grønne","Østjyllands Storkreds","mariasorensen2","https://www.tiktok.com/@mariasorensen2","34","25","0","0","59","possible_match","ingen_konto"
"Rasmus Lund-Nielsen","Moderaterne","Nordsjællands Storkreds","rasmuslundnielsen_","https://www.tiktok.com/@rasmuslundnielsen_","34","16","8","0","58","possible_match","korrekt"
"Trine Birk Andersen","Socialdemokratiet","Sjællands Storkreds","trineandersen02","https://www.tiktok.com/@trineandersen02","34","16","8","0","58","possible_match","ingen_konto"
"Stine Thier-Andersen","Det Konservative Folkeparti","Nordjyllands Storkreds","stinethierandersen","https://www.tiktok.com/@stinethierandersen","34","16","8","0","58","possible_match","korrekt"
"Peter Kempf Pedersen","Socialdemokratiet","Vestjyllands Storkreds","peterpedersen3","https://www.tiktok.com/@peterpedersen3","34","16","8","0","58","possible_match","ingen_konto"
"Kim Alexander Jensen","Liberal Alliance","Sydjyllands Storkreds","kimjensen11","https://www.tiktok.com/@kimjensen11","34","16","8","0","58","possible_match","ingen_konto"
"Nikolaj Brink Olsen","Liberal Alliance","Sjællands Storkreds","nikolajolsen5","https://www.tiktok.com/@nikolajolsen5","34","16","8","0","58","possible_match","ingen_konto"
"Michael Bang Pedersen","Borgernes Parti - Lars Boje Mathiesen","Østjyllands Storkreds","michaelpedersen04","https://www.tiktok.com/@michaelpedersen04","34","16","8","0","58","possible_match","ingen_konto"
"Finn Hartvig Nielsen","Radikale Venstre","Sydjyllands Storkreds","finnnielsen0","https://www.tiktok.com/@finnnielsen0","34","16","8","0","58","possible_match","ingen_konto"
"Andreas Fjord Larsen","Venstre","Fyns Storkreds","andreaslarsen96","https://www.tiktok.com/@andreaslarsen96","34","16","8","0","58","possible_match","ingen_konto"
"Barbara Krarup Hansen","Radikale Venstre","Sydjyllands Storkreds","barbarakrarup","https://www.tiktok.com/@barbarakrarup","34","16","8","0","58","possible_match","korrekt"
"Christian Friis Bach","Venstre","Sjællands Storkreds","christianbach75","https://www.tiktok.com/@christianbach75","34","16","8","0","58","possible_match","ingen_konto"
"Anders Bo Larsen","Venstre","Københavns Omegns Storkreds","anderslarsen91","https://www.tiktok.com/@anderslarsen91","34","16","8","0","58","possible_match","ingen_konto"
"Emma Juul Hansen","Det Konservative Folkeparti","Nordsjællands Storkreds","emmahansen25","https://www.tiktok.com/@emmahansen25","34","16","8","0","58","possible_match","ingen_konto"
"Frederik Blicher Pedersen","Liberal Alliance","Nordjyllands Storkreds","frederikpedersen95","https://www.tiktok.com/@frederikpedersen95","34","16","8","0","58","possible_match","ingen_konto"
"Gitte Bjerremand Andersen","Moderaterne","Sydjyllands Storkreds","gitteandersen82","https://www.tiktok.com/@gitteandersen82","34","16","8","0","58","possible_match","ingen_konto"
"Jakob Engel-Schmidt","Moderaterne","Københavns Storkreds","jakobengelschmidt","https://www.tiktok.com/@jakobengelschmidt","34","16","8","0","58","possible_match","korrekt"
"Mathias Sikora","Radikale Venstre","Østjyllands Storkreds","mathiassikora","https://www.tiktok.com/@mathiassikora","18","25","8","5","56","possible_match","korrekt"
"Bo Vibe Ancher Jensen","Dansk Folkeparti","Bornholms Storkreds","bojensenxxx","https://www.tiktok.com/@bojensenxxx","34","18","0","0","52","possible_match","ingen_konto"
"Morten Sørensen","Det Konservative Folkeparti","Østjyllands Storkreds","morten.srensen16","https://www.tiktok.com/@morten.srensen16","18","25","8","0","51","possible_match","korrekt"
"Anna Calero","Alternativet","Østjyllands Storkreds","ivannaacalero","https://www.tiktok.com/@ivannaacalero","18","25","8","0","51","possible_match","ingen_konto"
"Dennis Flydtkjær","Danmarksdemokraterne - Inger Støjberg","Vestjyllands Storkreds","flydtkjaer","https://www.tiktok.com/@flydtkjaer","18","25","8","0","51","possible_match","korrekt"
"Anja Lund","Venstre","Fyns Storkreds","anjalund753","https://www.tiktok.com/@anjalund753","18","25","8","0","51","possible_match","korrekt"
"Anders Kronborg","Socialdemokratiet","Sydjyllands Storkreds","kronborg1982","https://www.tiktok.com/@kronborg1982","18","25","8","0","51","possible_match","korrekt"
"Line Randa","Moderaterne","Nordjyllands Storkreds","randa__hajjaj","https://www.tiktok.com/@randa__hajjaj","18","25","8","0","51","possible_match","ingen_konto"
"Thomas Christiansen","Liberal Alliance","Nordjyllands Storkreds","x.christiansen","https://www.tiktok.com/@x.christiansen","18","25","8","0","51","possible_match","ingen_konto"
"Nicolai Sandager","Liberal Alliance","Sjællands Storkreds","sandagern","https://www.tiktok.com/@sandagern","18","25","8","0","51","possible_match","korrekt"
"Peter Larsen","Liberal Alliance","Nordjyllands Storkreds","ptrlarsen","https://www.tiktok.com/@ptrlarsen","18","25","8","0","51","possible_match","ingen_konto"
"Troels Overgaard","Venstre","Sydjyllands Storkreds","overgaardtroels","https://www.tiktok.com/@overgaardtroels","18","25","8","0","51","possible_match","ingen_konto"
"Hediye Temiz","Radikale Venstre","Nordsjællands Storkreds","hediyedptemiz","https://www.tiktok.com/@hediyedptemiz","18","25","8","0","51","possible_match","korrekt"
"Johan Emil Sevelsted","Det Konservative Folkeparti","Fyns Storkreds","johanemildk","https://www.tiktok.com/@johanemildk","18","25","8","0","51","possible_match","korrekt"
"Stine Ry Andersen 8,","Enhedslisten - De Rød-Grønne","Vestjyllands Storkreds","stine.andersen_dk","https://www.tiktok.com/@stine.andersen_dk","34","16","0","0","50","possible_match","korrekt"
"Kirsten Normann Andersen","SF - Socialistisk Folkeparti","Østjyllands Storkreds","kirstenandersen6","https://www.tiktok.com/@kirstenandersen6","34","16","0","0","50","possible_match","ingen_konto"
"Marcus Bech Pedersen","Alternativet","Østjyllands Storkreds","marcus_pedersen1","https://www.tiktok.com/@marcus_pedersen1","34","16","0","0","50","possible_match","ingen_konto"
"Kevin Alex Rasmussen","Enhedslisten - De Rød-Grønne","Sjællands Storkreds","kevinrasmussen7","https://www.tiktok.com/@kevinrasmussen7","34","16","0","0","50","possible_match","ingen_konto"
"Karen Thestrup Clausen","Enhedslisten - De Rød-Grønne","Sjællands Storkreds","karenclausen233","https://www.tiktok.com/@karenclausen233","34","16","0","0","50","possible_match","ingen_konto"
"Simon Meyer Off","SF - Socialistisk Folkeparti","Fyns Storkreds","simonmeyeroff","https://www.tiktok.com/@simonmeyeroff","34","16","0","0","50","possible_match","korrekt"
"Sinem Dybvad Demir","Enhedslisten - De Rød-Grønne","Nordsjællands Storkreds","sinemdybvaddemirehl","https://www.tiktok.com/@sinemdybvaddemirehl","34","16","0","0","50","possible_match","korrekt"
"Bob Richard Nielsen","Danmarksdemokraterne - Inger Støjberg","Sjællands Storkreds","bobnielsen90","https://www.tiktok.com/@bobnielsen90","34","16","0","0","50","possible_match","ingen_konto"
"Cecilie Liv Hansen","Liberal Alliance","Sydjyllands Storkreds","cecilieldh","https://www.tiktok.com/@cecilieldh","34","16","0","0","50","possible_match","korrekt"
"Christina Hedegaard Hansen","Enhedslisten - De Rød-Grønne","Østjyllands Storkreds","christinahansen208","https://www.tiktok.com/@christinahansen208","34","16","0","0","50","possible_match","ingen_konto"
"Emma Thorup Jacobsen","SF - Socialistisk Folkeparti","Vestjyllands Storkreds","emmajacobsen28","https://www.tiktok.com/@emmajacobsen28","34","16","0","0","50","possible_match","ingen_konto"
"Vivian Lindberg Larsen","Danmarksdemokraterne - Inger Støjberg","Fyns Storkreds","vivianlarsen31","https://www.tiktok.com/@vivianlarsen31","34","16","0","0","50","possible_match","ingen_konto"
"Tobias Brus Mikkelsen","Dansk Folkeparti","Sydjyllands Storkreds","tobias.b.mikkelsen","https://www.tiktok.com/@tobias.b.mikkelsen","34","16","0","0","50","possible_match","korrekt"
"Jimmy Abel Nielsen","Liberal Alliance","Nordjyllands Storkreds","jimmynielsen36","https://www.tiktok.com/@jimmynielsen36","34","16","0","0","50","possible_match","ingen_konto"
"Holly Marie Turner","Enhedslisten - De Rød-Grønne","Sydjyllands Storkreds","hollymarieturner","https://www.tiktok.com/@hollymarieturner","34","16","0","0","50","possible_match","korrekt"
"Thomas Due Nielsen","Alternativet","Østjyllands Storkreds","thomasnielsen1","https://www.tiktok.com/@thomasnielsen1","34","16","0","0","50","possible_match","ingen_konto"
"Laura Elise Andersen-Mühl","SF - Socialistisk Folkeparti","Fyns Storkreds","laurahl_98","https://www.tiktok.com/@laurahl_98","34","12","0","0","46","possible_match","ingen_konto"
"Anne Marie Geisler Andersen","Radikale Venstre","Sydjyllands Storkreds","anneandersen10","https://www.tiktok.com/@anneandersen10","34","12","0","0","46","possible_match","ingen_konto"
"Anne Sophie Callesen","Radikale Venstre","Østjyllands Storkreds","annesophierv","https://www.tiktok.com/@annesophierv","0","25","15","5","45","possible_match","korrekt"
"Denise Rostgaard","Dansk Folkeparti","Københavns Storkreds","deniserostgaard","https://www.tiktok.com/@deniserostgaard","0","25","15","5","45","possible_match","korrekt"
"Charlotte Bagge","Moderaterne","Sjællands Storkreds","moderaterne","https://www.tiktok.com/@moderaterne","0","25","15","5","45","possible_match","ingen_konto"
"Morten Høgh","Venstre","Vestjyllands Storkreds","mortenhogh_venstre","https://www.tiktok.com/@mortenhogh_venstre","0","25","15","5","45","possible_match","korrekt"
"Pia Olsen Dyhr","SF - Socialistisk Folkeparti","Sjællands Storkreds","sfungdom","https://www.tiktok.com/@sfungdom","0","25","15","5","45","possible_match","ingen_konto"
"Ruben Kidde","Radikale Venstre","Københavns Omegns Storkreds","radikaleruben","https://www.tiktok.com/@radikaleruben","0","25","15","5","45","possible_match","korrekt"
"Mohammad Rona","Moderaterne","Nordjyllands Storkreds","mohammad_rona","https://www.tiktok.com/@mohammad_rona","0","25","15","5","45","possible_match","korrekt"
"Franciska Rosenkilde","Alternativet","Københavns Storkreds","jacob.jorgsholm","https://www.tiktok.com/@jacob.jorgsholm","0","25","15","5","45","possible_match","ingen_konto"
"John Brill Engkebølle","Danmarksdemokraterne - Inger Støjberg","Sjællands Storkreds","brill1977","https://www.tiktok.com/@brill1977","0","25","15","5","45","possible_match","korrekt"
