party_name,storkreds,candidate_name
Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,Lasse Harder Schousboe
Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,Mathias D. Christiansen
Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,"Selma Bolø 3,"
Radikale Venstre,Sydjyllands Storkreds,Lasse Skov Ovesen
Radikale Venstre,Sydjyllands Storkreds,Ole Lynggaard Jørgensen
Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,Aksel Rosager Johansen
Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,Damian Hartvig Mathiesen
Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,Henning Bo Madsen
Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,"Lisbeth Torfing 3,"
Radikale Venstre,Vestjyllands Storkreds,Lone Kjær Hein
Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,"Trine Mach 1,"
Radikale Venstre,Bornholms Storkreds,Laila Stougaard Kofoed Espersen
Radikale Venstre,Nordjyllands Storkreds,Michael Portefee P. Lex
Det Konservative Folkeparti,Bornholms Storkreds,Kristoffer Kromand
Socialdemokratiet,Bornholms Storkreds,Kasper Flygare
Det Konservative Folkeparti,Fyns Storkreds,Anne Fiber
Det Konservative Folkeparti,Fyns Storkreds,Tobias Bennedsen
Socialdemokratiet,Fyns Storkreds,Jeppe Bruus
Socialdemokratiet,Fyns Storkreds,Maria Gudme
Det Konservative Folkeparti,Københavns Omegns Storkreds,Christian Vigilius
Det Konservative Folkeparti,Københavns Omegns Storkreds,Dorte Vilhelmsen
Det Konservative Folkeparti,Københavns Omegns Storkreds,Isabella Arendt
Det Konservative Folkeparti,Københavns Omegns Storkreds,Jette Larsen
Det Konservative Folkeparti,Københavns Omegns Storkreds,Julie Ahlefeldt-Laurvig
Socialdemokratiet,Københavns Omegns Storkreds,Gunvor Wibroe
Socialdemokratiet,Københavns Omegns Storkreds,Magnus Barsøe
Socialdemokratiet,Københavns Omegns Storkreds,Maria Durhuus
Socialdemokratiet,Københavns Omegns Storkreds,Mattias Tesfaye
Socialdemokratiet,Københavns Omegns Storkreds,Morten Bødskov
Socialdemokratiet,Københavns Omegns Storkreds,Vibeke Westh
Det Konservative Folkeparti,Københavns Storkreds,Anders Storgaard
Det Konservative Folkeparti,Københavns Storkreds,Carina Høedt
Det Konservative Folkeparti,Københavns Storkreds,Helene Fagerhøj
Det Konservative Folkeparti,Københavns Storkreds,Helle Bonnesen
Det Konservative Folkeparti,Københavns Storkreds,Line Ervolder
Det Konservative Folkeparti,Københavns Storkreds,Nikolaj Bøgh
Det Konservative Folkeparti,Københavns Storkreds,Pernille Birch
Det Konservative Folkeparti,Københavns Storkreds,Rasmus Bjergegaard
Socialdemokratiet,Københavns Storkreds,Asbjørn Reissmann
Socialdemokratiet,Københavns Storkreds,Camilla Hoffmann
Socialdemokratiet,Københavns Storkreds,Emilla Møller
Socialdemokratiet,Københavns Storkreds,Marcus Vesterager
Socialdemokratiet,Københavns Storkreds,Stig Ekman
Det Konservative Folkeparti,Nordjyllands Storkreds,Gabriel Aaen
Det Konservative Folkeparti,Nordjyllands Storkreds,Per Larsen
Det Konservative Folkeparti,Nordjyllands Storkreds,René Flou
Socialdemokratiet,Nordjyllands Storkreds,Ane Halsboe-Jørgensen
Socialdemokratiet,Nordjyllands Storkreds,Morten Ryom
Socialdemokratiet,Nordjyllands Storkreds,Per Husted
Det Konservative Folkeparti,Nordsjællands Storkreds,Birgitte Bergman
Det Konservative Folkeparti,Nordsjællands Storkreds,Daniel Drefeld
Det Konservative Folkeparti,Nordsjællands Storkreds,Egil Hulgaard
Det Konservative Folkeparti,Nordsjællands Storkreds,Frederik Germann
Det Konservative Folkeparti,Nordsjællands Storkreds,Mette Abildgaard
Socialdemokratiet,Nordsjællands Storkreds,Fie Hækkerup
Socialdemokratiet,Nordsjællands Storkreds,Henrik Møller
Socialdemokratiet,Nordsjællands Storkreds,Louise Mehnke
Socialdemokratiet,Nordsjællands Storkreds,Matilde Powers
Socialdemokratiet,Nordsjællands Storkreds,Rasmus Stoklund
Socialdemokratiet,Nordsjællands Storkreds,Søren Rye
Det Konservative Folkeparti,Sjællands Storkreds,Barbara Engelstoft
Det Konservative Folkeparti,Sjællands Storkreds,Ditte Keidser
Det Konservative Folkeparti,Sjællands Storkreds,Henrik Jacobsen
Det Konservative Folkeparti,Sjællands Storkreds,Ida Dyhr
Det Konservative Folkeparti,Sjællands Storkreds,Jacob Stryhn
Det Konservative Folkeparti,Sjællands Storkreds,Mads Ramstedt
Det Konservative Folkeparti,Sjællands Storkreds,Marcus Knuth
Det Konservative Folkeparti,Sjællands Storkreds,Rune Kristensen
Det Konservative Folkeparti,Sjællands Storkreds,Vilhelm Møller
Socialdemokratiet,Sjællands Storkreds,Julie Kølskov
Socialdemokratiet,Sjællands Storkreds,Kanishka Dastageer
Socialdemokratiet,Sjællands Storkreds,Kasper Roug
Socialdemokratiet,Sjællands Storkreds,Tanja Larsson
Socialdemokratiet,Sjællands Storkreds,Valdemar Alban
Det Konservative Folkeparti,Sydjyllands Storkreds,Christian Tarbensen
Det Konservative Folkeparti,Sydjyllands Storkreds,Christina Foldager
Det Konservative Folkeparti,Sydjyllands Storkreds,Dan Arnløv
Det Konservative Folkeparti,Sydjyllands Storkreds,Gitte Eriksen
Det Konservative Folkeparti,Sydjyllands Storkreds,Kristian Thomsen
Det Konservative Folkeparti,Sydjyllands Storkreds,Rasmus Sandvej
Socialdemokratiet,Sydjyllands Storkreds,Benny Engelbrecht
Socialdemokratiet,Sydjyllands Storkreds,Birgitte Vind
Socialdemokratiet,Sydjyllands Storkreds,Bjørn Laursen
Socialdemokratiet,Sydjyllands Storkreds,Jesper Petersen
Socialdemokratiet,Sydjyllands Storkreds,Kim Eskesen
Socialdemokratiet,Sydjyllands Storkreds,Maria Radoor
Socialdemokratiet,Sydjyllands Storkreds,Tommi Christensen
Det Konservative Folkeparti,Vestjyllands Storkreds,Dina Andersen-Raabjerg
Det Konservative Folkeparti,Vestjyllands Storkreds,Lau Sørensen
Det Konservative Folkeparti,Vestjyllands Storkreds,Lennart Qvist
Det Konservative Folkeparti,Vestjyllands Storkreds,Marianne Karlsmose
Det Konservative Folkeparti,Vestjyllands Storkreds,Simon Højer
Socialdemokratiet,Vestjyllands Storkreds,Anders Andreasen
Socialdemokratiet,Vestjyllands Storkreds,Anne Paulin
Socialdemokratiet,Vestjyllands Storkreds,Lars Fibæk
Socialdemokratiet,Vestjyllands Storkreds,Mogens Jensen
Socialdemokratiet,Vestjyllands Storkreds,Vinnie Borbjerg
Det Konservative Folkeparti,Østjyllands Storkreds,Bia Ndamukunda
Det Konservative Folkeparti,Østjyllands Storkreds,Bjørn Jensen
Det Konservative Folkeparti,Østjyllands Storkreds,Caroline Svejsø
Det Konservative Folkeparti,Østjyllands Storkreds,Jacob Skjærris
Det Konservative Folkeparti,Østjyllands Storkreds,Mona Juul
Det Konservative Folkeparti,Østjyllands Storkreds,Peter Sporleder
Socialdemokratiet,Østjyllands Storkreds,Anders Kühnau
Socialdemokratiet,Østjyllands Storkreds,Camilla Fabricius
Socialdemokratiet,Østjyllands Storkreds,Dorthe Hindborg
Socialdemokratiet,Østjyllands Storkreds,Erik Særkjær
Socialdemokratiet,Østjyllands Storkreds,Louise Stenmann
Socialdemokratiet,Østjyllands Storkreds,Mathias Thybo
Socialdemokratiet,Østjyllands Storkreds,Nicolai Wammen
Socialdemokratiet,Østjyllands Storkreds,Pia Halkjær
Socialdemokratiet,Østjyllands Storkreds,Thomas Monberg
Det Konservative Folkeparti,Bornholms Storkreds,Peter Svarre Fridolf
Socialdemokratiet,Bornholms Storkreds,Christian Faurholdt Jeppesen
Det Konservative Folkeparti,Fyns Storkreds,Klavs Norup Lauridsen
Det Konservative Folkeparti,Fyns Storkreds,Natasja Bruun Knudsen
Socialdemokratiet,Fyns Storkreds,Sara Emil Baaring
Det Konservative Folkeparti,Københavns Omegns Storkreds,Sigurd Hebo Lønholdt
Socialdemokratiet,Københavns Omegns Storkreds,Jens Anton Tingstrøm
Socialdemokratiet,Københavns Omegns Storkreds,Sofie de Bretteville
Det Konservative Folkeparti,Københavns Storkreds,Anders Havelund Krøyer
Det Konservative Folkeparti,Københavns Storkreds,Lasse Vogel Andersen
Socialdemokratiet,Københavns Storkreds,Sophie Hæstorp Andersen
Det Konservative Folkeparti,Nordjyllands Storkreds,Sofie Therese Svendsen
Socialdemokratiet,Nordjyllands Storkreds,Flemming Møller Mortensen
Socialdemokratiet,Nordjyllands Storkreds,Peder Key Kristiansen
Socialdemokratiet,Sjællands Storkreds,Filiz Sarah Thunø
Socialdemokratiet,Sjællands Storkreds,Kaare Dybvad Bek
Socialdemokratiet,Sjællands Storkreds,Rasmus Horn Langhoff
Det Konservative Folkeparti,Sydjyllands Storkreds,Cecilie C. Johannsen
Det Konservative Folkeparti,Sydjyllands Storkreds,Frederik Bloch Münster
Det Konservative Folkeparti,Sydjyllands Storkreds,Gunver Birgitte Nielsen
Det Konservative Folkeparti,Sydjyllands Storkreds,Jannie Boysen Westergaard
Det Konservative Folkeparti,Sydjyllands Storkreds,Jens Langer Schou
Det Konservative Folkeparti,Sydjyllands Storkreds,Morten Trillingsgaard Høybye
Det Konservative Folkeparti,Sydjyllands Storkreds,Rasmus Elkjær Larsen
Socialdemokratiet,Sydjyllands Storkreds,Christian Rabjerg Madsen
Socialdemokratiet,Sydjyllands Storkreds,Kris Jensen Skriver
Socialdemokratiet,Sydjyllands Storkreds,Lars Rømer Olsen
Socialdemokratiet,Sydjyllands Storkreds,Theis Kylling Hommeltoft
Det Konservative Folkeparti,Vestjyllands Storkreds,Gorm Hoff Lauridsen
Det Konservative Folkeparti,Vestjyllands Storkreds,Jørgen Christian Pedersen
Det Konservative Folkeparti,Vestjyllands Storkreds,Siff Tang Lassen
Socialdemokratiet,Vestjyllands Storkreds,Eva Borchorst Mejnertz
Socialdemokratiet,Vestjyllands Storkreds,Kasper B.G. Lauritsen
Socialdemokratiet,Vestjyllands Storkreds,Per Kamp Stefansen
Det Konservative Folkeparti,Østjyllands Storkreds,Michael Faust Horsbøl
Det Konservative Folkeparti,Østjyllands Storkreds,Viktor Thyregod Sivertsen
Danmarksdemokraterne - Inger Støjberg,Bornholms Storkreds,Michael Hendriksen
Venstre,Bornholms Storkreds,Niklas Stenbye
Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds,Nikolaj Vang
Venstre,Fyns Storkreds,Claus Oxfeldt
Venstre,Fyns Storkreds,Torben Povlsen
Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,Charlotte Munch
Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,Sebastian Mylsted
Venstre,Københavns Omegns Storkreds,Christopher Blomsterberg-Thaysen
Venstre,Københavns Omegns Storkreds,Luise Hjortebjerg
Venstre,Københavns Omegns Storkreds,Maria Ladegaard
Venstre,Københavns Omegns Storkreds,Marie Brixtofte
Venstre,Københavns Omegns Storkreds,Ricki Vejsmose
Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds,Benny Bindslev
Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds,Eva Bechmann
Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds,Martin Sibast
Venstre,Københavns Storkreds,Anders Fausbøll
Venstre,Københavns Storkreds,Claus Buch
Venstre,Københavns Storkreds,Linea Søgaard-Lidell
Venstre,Københavns Storkreds,Natascha Remvig
Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,Claus Skovmose
Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,Kristian Bøgsted
Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,Liselotte Lynge
Venstre,Nordjyllands Storkreds,Marie Bjerre
Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds,Maibritt Nielsen
Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds,Marlene Harpsøe
Venstre,Nordsjællands Storkreds,Annette Rieva
Venstre,Nordsjællands Storkreds,Katarina Ammitzbøll
Venstre,Nordsjællands Storkreds,Marianne Lynghøj
Venstre,Nordsjællands Storkreds,Sophie Løhde
Venstre,Nordsjællands Storkreds,Tue Villebro
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Benny Damgaard
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Brian Mørch
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Christian Wibholm
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Dina Person
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Michael Rosenmark
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Peter Skaarup
Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,Susie Jessen
Venstre,Sjællands Storkreds,Claus Bakke
Venstre,Sjællands Storkreds,Louise Elholm
Venstre,Sjællands Storkreds,Michael Schjelde
Venstre,Sjællands Storkreds,Rasmus Hylleberg
Venstre,Sjællands Storkreds,Tina Mandrup
Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,Karina Adsbøl
Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,Patrick Bryhl
Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,Ulrik Knudsen
Venstre,Sydjyllands Storkreds,Anni Matthiesen
Venstre,Sydjyllands Storkreds,Klaus Sandfeld
Venstre,Sydjyllands Storkreds,Lasse Hildingberg
Venstre,Sydjyllands Storkreds,Preben Friis-Hauge
Venstre,Sydjyllands Storkreds,Stephanie Lose
Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,Betina Kastbjerg
Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,Mads Fuglede
Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,Vivi Altenburg
Venstre,Vestjyllands Storkreds,Erik Flyvholm
Venstre,Vestjyllands Storkreds,Gert Bækgaard
Venstre,Vestjyllands Storkreds,Jarl Matthiesen
Venstre,Vestjyllands Storkreds,Majbrit Nørgaard
Venstre,Vestjyllands Storkreds,Ralf Høgedal
Venstre,Vestjyllands Storkreds,Thomas Danielsen
Venstre,Vestjyllands Storkreds,Trine Jepsen
Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,Erik Poulsen
Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,Lone Glarbo
Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,Magnus Bigum
Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,Rune Mikkelsen
Venstre,Østjyllands Storkreds,Gert Bjerregaard
Venstre,Østjyllands Storkreds,Hans Skou
Venstre,Østjyllands Storkreds,Karina Aamann
Venstre,Østjyllands Storkreds,Louise Høeg
Venstre,Østjyllands Storkreds,Sebastian Støckler
Venstre,Bornholms Storkreds,Birthe Tindbæk Bredo
Venstre,Fyns Storkreds,Nikolaj Leed Henriksen
Venstre,Nordjyllands Storkreds,Anne Honoré Østergaard
Venstre,Nordjyllands Storkreds,Hans Jørgen Adamsen
Venstre,Nordjyllands Storkreds,Niels H. Bünemann
Venstre,Nordjyllands Storkreds,Preben Bang Henriksen
Venstre,Nordjyllands Storkreds,Torsten Schack Pedersen
Venstre,Sjællands Storkreds,Thorbern Alexander Klingert
Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,Jakob Venø Heiwald
Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,Kenneth Fredslund Petersen
Venstre,Sydjyllands Storkreds,Christoffer Aagaard Melson
Venstre,Sydjyllands Storkreds,Niels Henning Bladt
Venstre,Sydjyllands Storkreds,Phillip Kjær Luscombe
Venstre,Sydjyllands Storkreds,Tilde Holch Duedahl
Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,Marcus Juul Grønbæk
Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,Morten Vehl Revsbeck
Venstre,Vestjyllands Storkreds,Frederik Houmann Thuesen
Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,Hans Kristian Skibby
Venstre,Østjyllands Storkreds,Erik Veje Rasmussen
Venstre,Østjyllands Storkreds,Henrik Rejnholt Andersen
Venstre,Østjyllands Storkreds,Mathilde Hjort Bressum
Venstre,Østjyllands Storkreds,Troels Lund Poulsen
Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds,Jens Henrik W. Thulesen Dahl
Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Anja Busch
Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Charlotte Møller-Madsen
Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Allan Orland
Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Frederik Lundberg
Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Mathias Fuglsang
Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Morten Dehn
Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds,Flemming Steenlykke
Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Arne Hyldgaard
Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Ib Poulsen
Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,John Bjerg
Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Niels Christensen
Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Paulina Laparil
Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,Martin Nordstjerne
Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,Peter Faber
Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Sanne Pilgaard
Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Tim Larsen
Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Jørn Dohrmann
Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Karsten Byrgesen
Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Jes Halfdan
Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Maria Enemark
Borgernes Parti - Lars Boje Mathiesen,Bornholms Storkreds,Charlotte Friberg Henriksen
Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Søren T. Fugleberg
Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Jan Køpke Christensen
Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Helge K. Frandsen
Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,Lars Boje Mathiesen
Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,Viviane Ellasofie Karlsen
Dansk Folkeparti,Fyns Storkreds,Alex Ahrendtsen
Dansk Folkeparti,Fyns Storkreds,Niels Bolding
Dansk Folkeparti,Københavns Omegns Storkreds,Hans Blaaberg
Dansk Folkeparti,Københavns Omegns Storkreds,Mikkel Dencker
Dansk Folkeparti,Københavns Omegns Storkreds,Tenna Røberg
Dansk Folkeparti,Københavns Storkreds,Paw Karslund
Dansk Folkeparti,Nordjyllands Storkreds,Danny Rosenkilde
Dansk Folkeparti,Nordsjællands Storkreds,Gert Løfgren
Dansk Folkeparti,Nordsjællands Storkreds,Jette Juul
Dansk Folkeparti,Nordsjællands Storkreds,Mette Thiesen
Dansk Folkeparti,Nordsjællands Storkreds,Mikkel Hartwich
Dansk Folkeparti,Nordsjællands Storkreds,Pia Adelsteen
Dansk Folkeparti,Nordsjællands Storkreds,Ulla Kokfelt
Dansk Folkeparti,Sjællands Storkreds,Anders Bork
Dansk Folkeparti,Sjællands Storkreds,Henrik Brodersen
Dansk Folkeparti,Sjællands Storkreds,Jacob Bentsen
Dansk Folkeparti,Sjællands Storkreds,Jan Herskov
Dansk Folkeparti,Sjællands Storkreds,Michael Pihl
Dansk Folkeparti,Sjællands Storkreds,Morten Messerschmidt
Dansk Folkeparti,Sjællands Storkreds,Simon Hampe
Dansk Folkeparti,Sjællands Storkreds,Tanja Glückstadt
Dansk Folkeparti,Sydjyllands Storkreds,Allan Svendsen
Dansk Folkeparti,Sydjyllands Storkreds,Jim Zakaria
Dansk Folkeparti,Sydjyllands Storkreds,Per Knudsen
Dansk Folkeparti,Sydjyllands Storkreds,Peter Kofod
Dansk Folkeparti,Sydjyllands Storkreds,Rune Højer
Dansk Folkeparti,Vestjyllands Storkreds,Knud Nielsen
Dansk Folkeparti,Vestjyllands Storkreds,Lone Langballe
Dansk Folkeparti,Vestjyllands Storkreds,Michelle Sundahl
Dansk Folkeparti,Vestjyllands Storkreds,Mikael Würtz
Dansk Folkeparti,Østjyllands Storkreds,Mercedes Czank
Dansk Folkeparti,Østjyllands Storkreds,Michael Nedersøe
Dansk Folkeparti,Østjyllands Storkreds,Nana Harring
Dansk Folkeparti,Fyns Storkreds,Anne Møllegaard Mortensen
Dansk Folkeparti,Københavns Omegns Storkreds,Zandra Thulstrup Pihl
Dansk Folkeparti,Københavns Storkreds,Merete Dea Larsen
Dansk Folkeparti,Nordjyllands Storkreds,Emma Houe Mølgaard
Dansk Folkeparti,Nordjyllands Storkreds,Jørgen Hammer Sørensen
Dansk Folkeparti,Nordsjællands Storkreds,Brian Lyck Jørgensen
Dansk Folkeparti,Sjællands Storkreds,Søren Lund Hansen
Dansk Folkeparti,Sydjyllands Storkreds,Josephine Alstrup Kofod
Dansk Folkeparti,Sydjyllands Storkreds,Sune Nørgaard Jakobsen
Dansk Folkeparti,Vestjyllands Storkreds,Søren Boel Olesen
Dansk Folkeparti,Østjyllands Storkreds,Jens Kannegaard Lundager
Uden for partierne,Københavns Storkreds,Theresa Scavenius
Uden for partierne,Vestjyllands Storkreds,Knud Gaarn-Larsen
Uden for partierne,Østjyllands Storkreds,Søren Skjold Andersen
